"","sel","","title","artist","top genre","year","added","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop"
"104","on (i)","","Life Is Good (feat. Drake)","Future","atl hip hop","2020","2023‑06‑22","142","61","68","-6","15","51","238","7","48","79"
"105","on (i)","","Go Crazy","Chris Brown","r&b","2020","2023‑06‑22","94","58","76","-9","25","58","177","32","14","79"
"106","on (i)","","Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke","brooklyn drill","2020","2023‑06‑22","131","65","91","-5","28","37","191","2","11","79"
"107","on (i)","","Baianá","Bakermat","minimal tech house","2020","2023‑06‑22","122","72","59","-7","54","47","181","0","7","79"
"108","on (i)","","Way 2 Sexy (with Future & Young Thug)","Drake","canadian hip hop","2021","2023‑06‑22","136","60","80","-6","32","33","258","0","14","79"
"109","on (i)","","Heartbreak Anthem (with David Guetta & Little Mix)","Galantis","dance pop","2021","2023‑06‑22","124","78","60","-5","6","48","184","22","10","79"
"110","on (i)","","Tek It","Cafuné","brooklyn indie","2021","2023‑06‑22","147","91","42","-5","27","60","192","0","7","79"
"111","on (i)","","Ghost in the Machine (feat. Phoebe Bridgers)","SZA","pop","2022","2023‑06‑22","125","43","62","-10","11","59","219","84","5","79"
"112","on (i)","","Love Language","SZA","pop","2022","2023‑06‑22","65","26","71","-10","13","55","184","85","8","79"
"113","on (i)","","Get Busy","Sean Paul","dance pop","2022","2023‑06‑22","100","82","74","-4","16","73","212","61","4","79"
"114","on (i)","","Die Young (feat. 347aidan)","Sleepy Hallow","brooklyn drill","2022","2023‑06‑22","77","58","81","-6","11","68","149","83","34","79"
"115","on (i)","","Drugs From Amsterdam","Mau P","tech house","2022","2023‑06‑22","125","93","68","-10","6","55","236","4","5","79"
"116","on (i)","","BILLIE EILISH.","Armani White","indie hip hop","2022","2023‑06‑22","100","51","90","-7","9","77","99","12","26","79"
"117","on (i)","","Je M'appelle","Benzz","","2022","2023‑06‑22","141","75","81","-4","16","96","140","17","24","79"
"118","on (i)","","Cool About It","boygenius","indie pop","2023","2023‑06‑22","93","20","56","-14","12","41","180","90","3","79"
"119","on (i)","","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money","pop rap","2020","2023‑06‑22","140","66","80","-6","11","46","195","25","8","78"
"120","on (i)","","THE SCOTTS","THE SCOTTS","viral rap","2020","2023‑06‑22","130","54","72","-8","16","28","166","23","5","78"
"121","on (i)","","Blueberry Faygo","Lil Mosey","melodic rap","2020","2023‑06‑22","99","55","77","-8","13","35","163","21","4","78"
"122","on (i)","","Envolver","Anitta","funk pop","2021","2023‑06‑22","92","74","81","-5","9","40","194","15","8","78"
"123","on (i)","","Praise God","Kanye West","chicago rap","2021","2023‑06‑22","118","55","80","-6","26","21","227","1","17","78"
"124","on (i)","","Enemy - From the series Arcane League of Legends","Imagine Dragons","modern rock","2021","2023‑06‑22","77","75","72","-4","42","52","173","25","26","78"
"125","on (i)","","Toxic","BoyWithUke","sad rap","2021","2023‑06‑22","180","62","61","-6","26","69","168","75","31","78"
"126","on (i)","","pushin P (feat. Young Thug)","Gunna","atl hip hop","2022","2023‑06‑22","78","42","77","-5","13","49","136","1","19","78"
"127","on (i)","","Obsessed With You","Central Cee","melodic drill","2022","2023‑06‑22","143","83","75","-4","37","90","109","19","4","78"
"128","on (i)","","Collide (feat. Tyga)","Justine Skye","pop r&b","2023","2023‑06‑22","140","31","42","-10","22","13","260","10","6","78"
"129","on (i)","","Minha Vida é um Filme","Teto","trap baiano","2023","2023‑06‑22","99","75","86","-5","31","59","187","15","7","78"
"130","on (i)","","Hecha Pa' Mi","Boza","panamanian pop","2020","2023‑06‑22","100","76","73","-5","10","83","186","36","6","77"
"131","on (i)","","Love Again","Dua Lipa","dance pop","2020","2023‑06‑22","116","67","66","-5","10","47","258","0","3","77"
"132","on (i)","","Levitating (feat. DaBaby)","Dua Lipa","dance pop","2020","2023‑06‑22","103","83","70","-4","7","92","203","1","6","77"
"133","on (i)","","Miss The Rage (feat. Playboi Carti)","Trippie Redd","melodic rap","2021","2023‑06‑22","77","88","58","-5","83","35","237","2","11","77"
"134","on (i)","","BED","Joel Corry","dance pop","2021","2023‑06‑22","124","78","67","-5","33","62","178","1","3","77"
"135","on (i)","","Rainfall (Praise You)","Tom Santa","stutter house","2022","2023‑06‑22","128","86","77","-5","25","51","167","14","6","77"
"136","on (i)","","Hot In It","Tiësto","big room","2022","2023‑06‑22","123","84","75","-5","4","72","130","0","18","77"
"137","on (i)","","Super Freaky Girl","Nicki Minaj","hip pop","2022","2023‑06‑22","133","88","95","-3","32","92","171","5","21","77"
"138","on (i)","","Free Mind","Tems","afro r&b","2020","2023‑06‑22","125","46","56","-7","16","42","248","44","8","76"
"139","on (i)","","BICHOTA","KAROL G","reggaeton","2020","2023‑06‑22","164","67","86","-4","10","84","179","21","15","76"
"140","on (i)","","Walk Em Down (feat. Roddy Ricch)","NLE Choppa","memphis hip hop","2020","2023‑06‑22","84","74","87","-5","7","65","173","27","23","76"
"141","on (i)","","Camelot","NLE Choppa","memphis hip hop","2020","2023‑06‑22","175","71","79","-5","72","76","149","8","40","76"
"142","on (i)","","The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke","brooklyn drill","2020","2023‑06‑22","100","62","49","-6","26","29","202","2","10","76"
"143","on (i)","","Stargazing","The Neighbourhood","modern alternative rock","2020","2023‑06‑22","160","48","51","-8","12","37","217","0","3","76"
"144","on (i)","","edamame (feat. Rich Brian)","bbno$","canadian hip hop","2021","2023‑06‑22","106","85","82","-5","3","68","134","2","12","76"
"145","on (i)","","Sweet Dreams","Alan Walker","electro house","2021","2023‑06‑22","125","82","77","-4","16","43","139","2","4","76"
"146","on (i)","","Massive","Drake","canadian hip hop","2022","2023‑06‑22","125","67","50","-7","15","6","337","11","6","76"
"147","on (i)","","Moth To A Flame (with The Weeknd)","Swedish House Mafia","edm","2022","2023‑06‑22","120","66","54","-7","11","11","234","0","4","76"
"148","on (i)","","Fantasy (feat. Don Toliver)","Kali Uchis","colombian pop","2023","2023‑06‑22","104","68","64","-6","14","19","178","13","5","76"
"149","on (i)","","En Peligro de Extinción","La Adictiva","banda","2020","2023‑06‑22","124","44","70","-5","27","82","234","10","3","75"
"150","on (i)","","DOLLAZ ON MY HEAD (feat. Young Thug)","Gunna","atl hip hop","2020","2023‑06‑22","145","46","83","-7","10","16","198","11","6","75"
"151","on (i)","","Toosie Slide","Drake","canadian hip hop","2020","2023‑06‑22","82","45","83","-10","11","84","247","32","20","75"
"152","on (i)","","What's Love Got to Do with It","Kygo","edm","2020","2023‑06‑22","105","66","75","-6","6","62","208","28","15","75"
"153","on (i)","","Come Away With Me","Norah Jones","contemporary vocal jazz","2020","2023‑06‑22","77","14","44","-13","13","15","198","90","3","75"
"154","on (i)","","Hurricane","Kanye West","chicago rap","2021","2023‑06‑22","80","56","59","-7","11","35","243","5","15","75"
"155","on (i)","","By Your Side (feat. Tom Grennan)","Calvin Harris","dance pop","2021","2023‑06‑22","124","96","73","-4","29","81","190","5","3","75"
"156","on (i)","","You","Regard","pop dance","2021","2023‑06‑22","106","70","69","-6","6","51","233","6","4","75"
"157","on (i)","","Pepas","Farruko","reggaeton","2021","2023‑06‑22","130","77","76","-4","13","44","287","1","3","75"
"158","on (i)","","Over","Lucky Daye","alternative r&b","2022","2023‑06‑22","103","56","65","-6","10","35","207","50","7","75"
"159","on (i)","","BREAK MY SOUL","Beyoncé","pop","2022","2023‑06‑22","115","89","69","-5","27","85","278","6","8","75"
"160","on (i)","","I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir)","Oliver Heldens","dutch house","2022","2023‑06‑22","126","89","69","-3","8","75","157","6","5","75"
"161","on (i)","","Don't Be Shy","Tiësto","big room","2023","2023‑06‑22","120","79","77","-4","26","51","141","20","6","75"
"162","on (i)","","4EVA (feat. Pharrell Williams)","KAYTRAMINÉ","pop rap","2023","2023‑06‑22","112","70","83","-9","6","54","190","2","7","75"
"163","on (i)","","PTSD","G Herbo","chicago drill","2020","2023‑06‑22","119","81","88","-3","21","81","232","3","18","74"
"164","on (i)","","Pump It Up","Endor","deep groove house","2020","2023‑06‑22","129","89","90","-7","6","65","151","20","22","74"
"165","on (i)","","Slow Down (feat. Jorja Smith) - Vintage Culture & Slow Motion Remix","Maverick Sabre","irish hip hop","2020","2023‑06‑22","124","66","88","-8","10","97","181","10","3","74"
"166","on (i)","","Kyoto","Phoebe Bridgers","indie pop","2020","2023‑06‑22","131","75","60","-7","9","49","185","5","4","74"
"167","on (i)","","The Difference","Flume","australian dance","2020","2023‑06‑22","160","87","56","-1","8","42","140","26","9","74"
"168","on (i)","","Whoopty","CJ","nyc rap","2020","2023‑06‑22","140","65","72","-8","13","66","123","20","13","74"
"169","on (i)","","Moonwalking in Calabasas (feat. Blueface) - Remix","DDG","pop rap","2021","2023‑06‑22","130","32","93","-10","14","71","170","10","11","74"
"170","on (i)","","Solid (feat. Drake)","Young Stoner Life","pop rap","2021","2023‑06‑22","126","49","89","-9","14","33","216","4","20","74"
"171","on (i)","","In Da Getto","J Balvin","reggaeton","2021","2023‑06‑22","127","72","92","-3","9","63","131","3","5","74"
"172","on (i)","","Shivers","Ed Sheeran","pop","2021","2023‑06‑22","141","86","79","-3","4","82","208","28","9","74"
"173","on (i)","","My Heart Goes (La Di Da)","Becky Hill","pop dance","2021","2023‑06‑22","124","78","70","-6","30","46","149","2","5","74"
"174","on (i)","","Feels Like","Gracie Abrams","alt z","2021","2023‑06‑22","145","48","62","-7","12","18","152","70","5","74"
"175","on (i)","","Up","Cardi B","pop","2021","2023‑06‑22","166","80","87","-6","5","82","157","0","27","74"
"176","on (i)","","La Mamá de la Mamá","El Alfa","dembow","2021","2023‑06‑22","130","93","92","-3","72","80","219","28","11","74"
"177","on (i)","","ROLLING STONE","Brent Faiyaz","r&b","2022","2023‑06‑22","141","27","46","-12","10","33","162","90","6","74"
"178","on (i)","","F2F","SZA","pop","2022","2023‑06‑22","90","74","53","-6","34","47","185","9","4","74"
"179","on (i)","","Super Gremlin","Kodak Black","florida drill","2022","2023‑06‑22","73","41","83","-7","36","11","201","0","14","74"
"180","on (i)","","Pump It Louder","Tiësto","big room","2022","2023‑06‑22","126","94","66","-2","83","54","159","1","19","74"
"181","on (i)","","This Is Why","Paramore","candy pop","2022","2023‑06‑22","123","76","73","-7","13","67","207","0","4","74"
"182","on (i)","","USCITO DI GALERA","Lazza","italian hip hop","2022","2023‑06‑22","164","75","59","-6","10","8","173","19","14","74"
"183","on (i)","","CUFF IT - WETTER REMIX","Beyoncé","pop","2023","2023‑06‑22","118","69","66","-6","49","65","249","43","6","74"
"184","on (i)","","VOID","Melanie Martinez","alt z","2023","2023‑06‑22","100","66","72","-7","19","42","248","18","4","74"
"185","on (i)","","Mystery Lady","Masego","alternative r&b","2020","2023‑06‑22","76","49","75","-8","10","62","228","39","14","73"
"186","on (i)","","Secrets","Regard","pop dance","2020","2023‑06‑22","119","77","85","-5","20","78","177","4","4","73"
"187","on (i)","","Monsters (feat. blackbear)","All Time Low","modern rock","2020","2023‑06‑22","79","85","37","-3","42","78","174","5","6","73"
"188","on (i)","","bloody valentine","Machine Gun Kelly","ohio hip hop","2020","2023‑06‑22","160","86","53","-4","15","51","205","0","8","73"
"189","on (i)","","Selfless","The Strokes","alternative rock","2020","2023‑06‑22","122","68","54","-4","9","9","222","19","3","73"
"190","on (i)","","Body","Megan Thee Stallion","houston rap","2020","2023‑06‑22","94","73","91","-6","11","47","171","2","24","73"
"191","on (i)","","Loco","Justin Quiles","reggaeton","2021","2023‑06‑22","128","90","77","-3","9","85","232","22","5","73"
"192","on (i)","","Back in Blood (feat. Lil Durk)","Pooh Shiesty","memphis hip hop","2021","2023‑06‑22","147","54","76","-8","13","83","184","15","38","73"
"193","on (i)","","witchblades","Lil Peep","cloud rap","2021","2023‑06‑22","144","54","63","-7","30","54","149","2","8","73"
"194","on (i)","","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick","florida drill","2021","2023‑06‑22","76","71","75","-6","25","48","280","0","36","73"
"195","on (i)","","Bezos I","Bo Burnham","comic","2021","2023‑06‑22","115","95","69","-5","14","71","58","1","4","73"
"196","on (i)","","California Dreamin' (feat. High Jinx)","Chris Lorenzo","bass house","2021","2023‑06‑22","128","91","69","-5","28","35","197","1","14","73"
"197","on (i)","","Never Going Home","Kungs","edm","2021","2023‑06‑22","122","85","84","-5","6","94","170","9","4","73"
"198","on (i)","","Follow You","Imagine Dragons","modern rock","2021","2023‑06‑22","125","73","54","-6","49","45","176","0","5","73"
"199","on (i)","","Best Friend (feat. Doja Cat)","Saweetie","cali rap","2021","2023‑06‑22","94","77","84","-4","7","40","156","0","14","73"
"200","on (i)","","Have Mercy","Chlöe","","2021","2023‑06‑22","130","54","90","-6","35","51","149","30","7","73"
"201","on (i)","","Gone Girl","SZA","pop","2022","2023‑06‑22","150","44","43","-8","15","42","244","57","6","73"
"202","on (i)","","Smoking on my Ex Pack","SZA","pop","2022","2023‑06‑22","81","68","47","-8","22","33","84","24","38","73"
"203","on (i)","","Stick Season","Noah Kahan","pov: indie","2022","2023‑06‑22","118","50","66","-7","10","80","182","80","7","73"
"204","on (i)","","drunk text me","Lexi Jayde","alt z","2022","2023‑06‑22","80","49","53","-7","9","23","213","29","3","73"
"205","on (i)","","Welcome to the DCC","Nothing But Thieves","alternative pop rock","2023","2023‑06‑22","121","74","65","-5","10","20","199","2","6","73"
"206","on (i)","","Ant Pile","Dominic Fike","alternative pop rock","2023","2023‑06‑22","125","72","80","-5","35","92","128","8","5","73"
"207","on (i)","","Jesus He Knows Me","Ghost","hard rock","2023","2023‑06‑22","95","96","47","-5","11","25","245","0","6","73"
"208","on (i)","","Rescued","Foo Fighters","alternative metal","2023","2023‑06‑22","150","96","27","-5","12","34","259","0","8","73"
