"","sel","","title","artist","top genre","year","added","bpm","nrgy","dnce","dB","live","val","dur","acous","spch","pop"
"1","on (i)","","Creepin' (with The Weeknd & 21 Savage)","Metro Boomin","rap","2022","2023‑06‑22","98","62","72","-6","8","17","222","42","5","96"
"2","on (i)","","I'm Good (Blue)","David Guetta","big room","2022","2023‑06‑22","128","97","56","-4","37","30","175","0","3","95"
"3","on (i)","","I Ain't Worried","OneRepublic","piano rock","2022","2023‑06‑22","140","80","70","-6","5","83","148","8","5","94"
"4","on (i)","","Heat Waves","Glass Animals","gauze pop","2020","2023‑06‑22","81","53","76","-7","9","53","239","44","9","93"
"5","on (i)","","As It Was","Harry Styles","pop","2022","2023‑06‑22","174","73","52","-5","31","66","167","34","6","93"
"6","on (i)","","Snooze","SZA","pop","2022","2023‑06‑22","143","55","56","-7","11","39","202","14","13","92"
"7","on (i)","","Unholy (feat. Kim Petras)","Sam Smith","pop","2022","2023‑06‑22","131","47","71","-7","27","24","157","1","9","91"
"8","on (i)","","Save Your Tears","The Weeknd","canadian contemporary r&b","2020","2023‑06‑22","118","83","68","-5","54","64","216","2","3","90"
"9","on (i)","","Jimmy Cooks (feat. 21 Savage)","Drake","canadian hip hop","2022","2023‑06‑22","166","67","53","-5","9","37","218","0","18","90"
"10","on (i)","","CUFF IT","Beyoncé","pop","2022","2023‑06‑22","115","69","78","-6","7","64","225","4","14","90"
"11","on (i)","","Moscow Mule","Bad Bunny","reggaeton","2022","2023‑06‑22","100","67","80","-5","12","29","246","29","3","89"
"12","on (i)","","MIDDLE OF THE NIGHT","Elley Duhé","alt z","2020","2023‑06‑22","186","61","41","-8","12","9","184","2","5","88"
"13","on (i)","","STAY (with Justin Bieber)","The Kid LAROI","australian hip hop","2021","2023‑06‑22","170","76","59","-5","10","48","142","4","5","88"
"14","on (i)","","good 4 u","Olivia Rodrigo","pop","2021","2023‑06‑22","167","66","56","-5","8","69","178","34","15","88"
"15","on (i)","","Cold Heart - PNAU Remix","Elton John","glam rock","2021","2023‑06‑22","116","80","80","-6","10","94","203","3","3","88"
"16","on (i)","","Where Are You Now","Lost Frequencies","belgian edm","2021","2023‑06‑22","121","64","67","-8","17","26","148","52","10","88"
"17","on (i)","","Woman","Doja Cat","dance pop","2021","2023‑06‑22","108","76","82","-4","12","88","173","9","9","88"
"18","on (i)","","WAIT FOR U (feat. Drake & Tems)","Future","atl hip hop","2022","2023‑06‑22","83","64","46","-4","7","34","190","31","34","88"
"19","on (i)","","Fair Trade (with Travis Scott)","Drake","canadian hip hop","2021","2023‑06‑22","168","47","67","-9","22","29","291","5","26","87"
"20","on (i)","","deja vu","Olivia Rodrigo","pop","2021","2023‑06‑22","181","61","44","-7","37","18","216","58","11","87"
"21","on (i)","","Bad Habits","Ed Sheeran","pop","2021","2023‑06‑22","126","89","81","-4","37","54","231","5","3","87"
"22","on (i)","","Until I Found You","Stephen Sanchez","gen z singer-songwriter","2021","2023‑06‑22","101","51","54","-6","17","23","178","73","3","87"
"23","on (i)","","Una Noche en Medellín","Cris Mj","mambo chileno","2022","2023‑06‑22","96","55","87","-5","5","83","154","9","8","87"
"24","on (i)","","Doja","Central Cee","melodic drill","2022","2023‑06‑22","140","57","91","-7","40","97","97","38","29","87"
"25","on (i)","","Bones","Imagine Dragons","modern rock","2022","2023‑06‑22","114","74","77","-4","8","57","165","2","5","87"
"26","on (i)","","Miss You","Oliver Tree","alternative hip hop","2022","2023‑06‑22","145","74","59","-7","15","20","206","1","5","87"
"27","on (i)","","Runnin","21 Savage","atl hip hop","2020","2023‑06‑22","143","63","82","-5","17","42","196","1","20","86"
"28","on (i)","","Levitating (feat. DaBaby)","Dua Lipa","dance pop","2020","2023‑06‑22","103","83","70","-4","7","92","203","1","6","86"
"29","on (i)","","Pepas","Farruko","reggaeton","2021","2023‑06‑22","130","77","76","-4","13","44","287","1","3","86"
"30","on (i)","","Ferrari","James Hype","deep groove house","2022","2023‑06‑22","125","69","85","-8","5","69","187","1","5","86"
"31","on (i)","","Sky","Playboi Carti","atl hip hop","2020","2023‑06‑22","140","90","79","-4","17","56","193","26","21","85"
"32","on (i)","","Godzilla (feat. Juice WRLD)","Eminem","detroit hip hop","2020","2023‑06‑22","166","75","81","-5","29","83","211","14","34","85"
"33","on (i)","","Levitating","Dua Lipa","dance pop","2020","2023‑06‑22","103","88","70","-2","21","91","204","6","8","85"
"34","on (i)","","family ties (with Kendrick Lamar)","Baby Keem","hip hop","2021","2023‑06‑22","134","61","71","-5","23","14","252","1","33","85"
"35","on (i)","","Knife Talk (with 21 Savage ft. Project Pat)","Drake","canadian hip hop","2021","2023‑06‑22","146","42","85","-10","8","15","243","6","32","85"
"36","on (i)","","Leave Before You Love Me (with Jonas Brothers)","Marshmello","brostep","2021","2023‑06‑22","120","74","72","-5","12","64","155","0","4","85"
"37","on (i)","","I WANNA BE YOUR SLAVE","Måneskin","indie rock italiano","2021","2023‑06‑22","133","61","75","-4","18","96","173","0","4","85"
"38","on (i)","","THATS WHAT I WANT","Lil Nas X","lgbtq+ hip hop","2021","2023‑06‑22","88","85","74","-5","5","55","144","1","22","85"
"39","on (i)","","double take","dhruv","nyc pop","2022","2023‑06‑22","109","44","66","-11","22","20","172","85","7","85"
"40","on (i)","","JACKIE BROWN","Brent Faiyaz","r&b","2022","2023‑06‑22","138","35","73","-10","22","50","169","65","11","85"
"41","on (i)","","Belly Dancer","Imanbek","electro house","2022","2023‑06‑22","122","80","85","-5","17","42","151","6","14","85"
"42","on (i)","","Martin & Gina","Polo G","chicago rap","2020","2023‑06‑22","94","53","83","-8","17","12","133","35","25","84"
"43","on (i)","","Wants and Needs (feat. Lil Baby)","Drake","canadian hip hop","2021","2023‑06‑22","136","45","58","-6","12","10","193","6","29","84"
"44","on (i)","","Mood (feat. iann dior)","24kGoldn","cali rap","2021","2023‑06‑22","91","72","70","-4","32","73","141","17","4","84"
"45","on (i)","","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X","lgbtq+ hip hop","2021","2023‑06‑22","150","70","74","-7","5","89","212","2","6","84"
"46","on (i)","","Do It To It","ACRAZE","pop dance","2021","2023‑06‑22","125","81","85","-8","7","64","158","2","9","84"
"47","on (i)","","The Motto","Tiësto","big room","2021","2023‑06‑22","118","76","75","-5","9","46","165","3","4","84"
"48","on (i)","","First Class","Jack Harlow","deep underground hip hop","2022","2023‑06‑22","107","58","90","-6","11","33","174","11","11","84"
"49","on (i)","","Deep Down (feat. Never Dull)","Alok","electro house","2022","2023‑06‑22","126","82","69","-4","25","89","166","1","8","84"
"50","on (i)","","RAVE","Dxrk ダーク","drift phonk","2022","2023‑06‑22","120","75","72","-6","11","34","169","24","4","84"
"51","on (i)","","STAR WALKIN' (League of Legends Worlds Anthem)","Lil Nas X","lgbtq+ hip hop","2022","2023‑06‑22","142","72","64","-5","9","31","211","15","5","84"
"52","on (i)","","Moth To A Flame (with The Weeknd)","Swedish House Mafia","edm","2022","2023‑06‑22","120","66","55","-7","11","11","234","0","4","84"
"53","on (i)","","DÁKITI","Bad Bunny","reggaeton","2020","2023‑06‑22","110","57","73","-10","11","14","205","40","5","83"
"54","on (i)","","What You Know Bout Love","Pop Smoke","brooklyn drill","2020","2023‑06‑22","84","55","71","-8","13","54","160","65","35","83"
"55","on (i)","","2055","Sleepy Hallow","brooklyn drill","2021","2023‑06‑22","81","51","83","-6","12","64","124","49","19","83"
"56","on (i)","","RAPSTAR","Polo G","chicago rap","2021","2023‑06‑22","81","54","79","-7","13","44","166","41","24","83"
"57","on (i)","","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Riton","house","2021","2023‑06‑22","123","86","82","-3","30","80","169","1","13","83"
"58","on (i)","","MONTERO (Call Me By Your Name)","Lil Nas X","lgbtq+ hip hop","2021","2023‑06‑22","179","50","59","-7","41","71","138","29","22","83"
"59","on (i)","","MONEY","LISA","k-pop","2021","2023‑06‑22","140","55","83","-10","15","40","168","16","22","83"
"60","on (i)","","Need to Know","Doja Cat","dance pop","2021","2023‑06‑22","130","61","66","-7","9","19","211","30","7","83"
"61","on (i)","","Kiss Me More (feat. SZA)","Doja Cat","dance pop","2021","2023‑06‑22","111","71","76","-3","12","78","209","26","3","83"
"62","on (i)","","ALL MINE","Brent Faiyaz","r&b","2022","2023‑06‑22","142","38","62","-9","11","22","216","43","3","83"
"63","on (i)","","Out of Time","The Weeknd","canadian contemporary r&b","2022","2023‑06‑22","93","76","65","-4","34","84","214","26","4","83"
"64","on (i)","","N95","Kendrick Lamar","conscious hip hop","2022","2023‑06‑22","140","67","79","-6","12","41","196","38","11","83"
"65","on (i)","","Afraid To Feel","LF SYSTEM","uk dance","2022","2023‑06‑22","128","91","58","-4","27","68","178","2","11","83"
"66","on (i)","","TQG","KAROL G","reggaeton","2023","2023‑06‑22","90","65","84","-3","13","70","198","67","21","83"
"67","on (i)","","MIRAGE (feat. Ozuna, GIMS & Sfera Ebbasta)","AriBeatz","puerto rican pop","2023","2023‑06‑22","172","60","70","-7","7","42","206","3","33","83"
"68","on (i)","","For The Night (feat. Lil Baby & DaBaby)","Pop Smoke","brooklyn drill","2020","2023‑06‑22","126","59","82","-7","19","35","190","11","20","82"
"69","on (i)","","Took Her To The O","King Von","chicago rap","2020","2023‑06‑22","160","59","82","-7","12","40","196","1","29","82"
"70","on (i)","","Laugh Now Cry Later (feat. Lil Durk)","Drake","canadian hip hop","2020","2023‑06‑22","134","52","76","-9","11","52","261","24","13","82"
"71","on (i)","","Head & Heart (feat. MNEK)","Joel Corry","dance pop","2020","2023‑06‑22","123","87","73","-3","5","91","166","17","7","82"
"72","on (i)","","The Business","Tiësto","big room","2020","2023‑06‑22","120","62","80","-7","11","24","164","41","23","82"
"73","on (i)","","Tell Em","Cochise","plugg","2021","2023‑06‑22","158","72","67","-7","40","47","180","10","23","82"
"74","on (i)","","Calling My Phone","Lil Tjay","brooklyn drill","2021","2023‑06‑22","105","39","91","-8","14","20","205","45","5","82"
"75","on (i)","","Goosebumps - Remix","Travis Scott","hip hop","2021","2023‑06‑22","125","59","84","-8","12","81","163","42","4","82"
"76","on (i)","","Love Tonight (David Guetta Remix Edit)","Shouse","aussietronica","2021","2023‑06‑22","126","99","62","-4","18","3","158","2","4","82"
"77","on (i)","","Monëy so big","Yeat","pluggnb","2021","2023‑06‑22","138","57","69","-8","10","35","160","12","9","82"
"78","on (i)","","Glimpse of Us","Joji","viral pop","2022","2023‑06‑22","170","32","44","-9","14","27","233","89","5","82"
"79","on (i)","","MAMIII","Becky G","latin pop","2022","2023‑06‑22","94","70","84","-4","14","90","226","9","8","82"
"80","on (i)","","21 Reasons (feat. Ella Henderson)","Nathan Dawe","pop dance","2022","2023‑06‑22","124","79","62","-4","5","78","155","2","11","82"
"81","on (i)","","Celestial","Ed Sheeran","pop","2022","2023‑06‑22","123","85","57","-1","16","50","209","5","4","82"
"82","on (i)","","After Party","Don Toliver","rap","2020","2023‑06‑22","163","69","63","-8","60","45","168","1","4","81"
"83","on (i)","","ROCKSTAR (feat. Roddy Ricch)","DaBaby","hip hop","2020","2023‑06‑22","90","69","75","-8","10","50","182","25","16","81"
"84","on (i)","","Wishing Well","Juice WRLD","chicago rap","2020","2023‑06‑22","150","61","65","-6","27","8","195","0","13","81"
"85","on (i)","","The Adults Are Talking","The Strokes","alternative rock","2020","2023‑06‑22","165","75","59","-6","31","65","309","1","5","81"
"86","on (i)","","Crazy Train","Ozzy Osbourne","album rock","2020","2023‑06‑22","138","91","45","-4","25","52","293","41","11","81"
"87","on (i)","","WAP (feat. Megan Thee Stallion)","Cardi B","pop","2020","2023‑06‑22","133","45","94","-8","8","36","188","2","38","81"
"88","on (i)","","Boss Bitch","Doja Cat","dance pop","2020","2023‑06‑22","126","96","71","-5","20","57","134","13","22","81"
"89","on (i)","","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X","lgbtq+ hip hop","2021","2023‑06‑22","150","69","74","-7","5","89","212","2","7","81"
"90","on (i)","","Don't Be Shy","Tiësto","big room","2021","2023‑06‑22","120","79","77","-4","26","51","141","20","6","81"
"91","on (i)","","Rasputin","Majestic","uk dance","2021","2023‑06‑22","128","91","76","-3","19","66","186","0","11","81"
"92","on (i)","","OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry","dance pop","2021","2023‑06‑22","124","83","79","-4","4","80","163","2","5","81"
"93","on (i)","","Pray For Me","The Weeknd","canadian contemporary r&b","2021","2023‑06‑22","101","68","73","-5","11","20","211","9","9","81"
"94","on (i)","","Relax My Eyes","ANOTR","dutch tech house","2022","2023‑06‑22","132","62","75","-10","14","91","192","18","3","81"
"95","on (i)","","Mood Swings (feat. Lil Tjay)","Pop Smoke","brooklyn drill","2020","2023‑06‑22","180","60","48","-6","8","27","213","49","37","80"
"96","on (i)","","Break My Heart","Dua Lipa","dance pop","2020","2023‑06‑22","113","73","73","-3","35","47","222","17","9","80"
"97","on (i)","","Paradise (feat. Dermot Kennedy)","MEDUZA","pop dance","2020","2023‑06‑22","124","60","63","-8","21","44","168","7","4","80"
"98","on (i)","","Your Love (9PM)","ATB","german dance","2021","2023‑06‑22","126","78","67","-6","12","52","150","19","11","80"
"99","on (i)","","Get Into It (Yuh)","Doja Cat","dance pop","2021","2023‑06‑22","92","66","91","-6","9","79","138","32","16","80"
"100","on (i)","","HOTEL LOBBY (Unc & Phew)","Quavo","atl hip hop","2022","2023‑06‑22","128","65","83","-4","23","14","143","12","17","80"
"101","on (i)","","Lay Low","Tiësto","big room","2023","2023‑06‑22","125","66","71","-5","9","38","140","18","4","80"
"102","on (i)","","La Difícil","Bad Bunny","reggaeton","2020","2023‑06‑22","180","85","69","-5","8","76","163","9","9","79"
"103","on (i)","","WHATS POPPIN","Jack Harlow","deep underground hip hop","2020","2023‑06‑22","145","60","92","-7","27","83","140","2","25","79"
